Churn,Contract_One year,Contract_Two year,Dependents_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,InternetService_Fiber optic,InternetService_No,MonthlyCharges,MultipleLines_No phone service,MultipleLines_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,PaperlessBilling_Yes,Partner_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,PhoneService_Yes,SeniorCitizen_1,StreamingMovies_No internet service,StreamingMovies_Yes,StreamingTV_No internet service,StreamingTV_Yes,TechSupport_No internet service,TechSupport_Yes,TotalCharges,gender_Male,tenure
0,False,False,False,False,False,False,False,29.85,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,29.85,False,1
0,True,False,False,False,True,False,False,56.95,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,1889.5,True,34
1,False,False,False,False,False,False,False,53.85,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,108.15,True,2
0,True,False,False,False,True,False,False,42.3,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1840.75,True,45
1,False,False,False,False,False,True,False,70.7,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,151.65,False,2
1,False,False,False,False,True,True,False,99.65,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,820.5,False,8
0,False,False,True,False,False,True,False,89.1,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,1949.4,True,22
0,False,False,False,False,False,False,False,29.75,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,301.9,False,10
1,False,False,False,False,True,True,False,104.8,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,3046.05,False,28
0,True,False,True,False,False,False,False,56.15,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,3487.95,True,62
0,False,False,True,False,False,False,False,49.95,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,587.45,True,13
0,False,True,False,True,False,False,True,18.95,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,326.8,True,16
0,True,False,False,False,True,True,False,100.35,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,5681.1,True,58
1,False,False,False,False,True,True,False,103.7,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,5036.3,True,49
0,False,False,False,False,True,True,False,105.5,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,2686.05,True,25
0,False,True,True,False,True,True,False,113.25,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,7895.15,False,69
0,True,False,False,True,False,False,True,20.65,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,1022.95,False,52
0,False,True,True,False,True,True,False,106.7,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,7382.25,True,71
1,False,False,True,False,True,False,False,55.2,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,528.35,False,10
0,False,False,False,False,True,True,False,90.05,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,1862.9,False,21
1,False,False,False,False,True,False,False,39.65,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,39.65,True,1
0,True,False,False,True,False,False,True,19.8,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,202.25,True,12
1,False,False,False,True,False,False,True,20.15,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,20.15,True,1
0,False,True,False,False,False,False,False,59.9,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,3505.1,False,58
0,False,False,True,False,False,False,False,59.6,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,2970.3,True,49
0,False,False,False,False,False,False,False,55.3,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,1530.6,False,30
1,False,False,True,False,False,True,False,99.35,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,False,4749.15,True,47
1,False,False,True,False,False,False,False,30.2,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,30.2,True,1
0,False,True,False,False,True,False,False,90.25,False,True,False,True,False,True,True,True,True,False,False,True,False,False,True,False,True,False,True,6369.45,True,72
1,False,False,True,False,False,False,False,64.7,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,1093.1,False,17
0,False,True,False,False,True,True,False,96.35,False,True,False,True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,True,6766.95,False,71
0,False,False,False,False,True,True,False,95.5,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,True,False,False,181.65,True,2
0,True,False,True,False,True,False,False,66.15,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,1874.45,False,27
0,False,False,False,True,False,False,True,20.2,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,20.2,True,1
0,False,False,False,False,False,False,False,45.25,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,45.25,True,1
0,False,True,True,False,False,True,False,99.9,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,7251.7,False,72
1,False,False,False,False,False,True,False,69.7,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,316.9,True,5
0,False,False,False,False,True,True,False,74.8,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,3548.3,False,46
1,False,False,False,False,True,True,False,106.35,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,3549.25,True,34
1,False,False,False,False,True,True,False,97.85,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,1105.4,False,11
0,True,False,True,False,False,False,False,49.55,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,475.7,True,10
0,False,True,True,False,False,False,False,69.2,False,True,False,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,4872.35,False,70
0,True,False,True,True,False,False,True,20.75,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,418.25,False,17
0,False,True,False,False,True,False,False,79.85,False,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,4861.45,False,63
0,False,False,False,False,False,False,False,76.2,False,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,True,981.45,False,13
0,False,False,False,False,False,True,False,84.5,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,3906.7,False,49
0,False,False,False,False,False,False,False,49.25,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,97.0,True,2
1,False,False,False,False,False,True,False,80.65,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,144.15,False,2
0,False,True,False,False,False,False,False,79.75,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,4217.8,True,52
0,False,True,True,False,True,False,False,64.15,False,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,4254.1,False,69
0,False,False,False,False,False,True,False,90.25,False,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,3838.75,False,43
1,False,False,False,False,False,True,False,99.1,False,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,1426.4,False,15
0,False,False,False,False,False,False,False,69.5,False,True,False,False,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True,1752.65,False,25
1,False,False,False,False,False,True,False,80.65,False,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,633.3,False,8
0,True,False,True,False,True,False,False,74.85,False,False,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False,False,True,4456.35,False,60
1,False,False,False,False,False,True,False,95.45,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,False,False,1752.55,True,18
0,True,False,True,False,False,True,False,99.65,False,True,False,False,False,True,True,True,True,False,False,True,False,False,True,False,True,False,False,6311.2,False,63
0,True,False,True,False,True,True,False,108.45,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,7076.35,True,66
0,False,True,True,True,False,False,True,24.95,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,894.3,False,34
0,False,True,False,False,True,True,False,107.5,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,7853.7,False,72
0,False,False,False,False,True,True,False,100.5,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,True,False,False,4707.1,False,47
0,False,False,False,False,False,True,False,89.9,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,5450.7,True,60
0,False,True,False,False,True,False,False,42.1,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,2962.0,True,72
0,True,False,True,False,True,False,False,54.4,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,957.1,False,18
1,False,False,False,False,False,True,False,94.4,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,857.25,False,9
0,False,False,False,False,False,False,False,75.3,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,244.1,False,3
0,True,False,False,False,False,True,False,78.9,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,3650.35,True,47
0,False,True,False,False,True,False,False,79.2,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,2497.2,False,31
0,False,True,True,True,False,False,True,20.15,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,930.9,False,50
0,False,False,False,False,True,True,False,79.85,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,887.35,True,10
0,False,False,False,False,False,False,False,49.05,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,49.05,True,1
0,True,False,True,True,False,False,True,20.4,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,1090.65,False,52
0,False,True,True,False,True,True,False,111.6,False,True,False,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,7099.0,True,64
0,False,True,True,True,False,False,True,24.25,False,True,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,1424.6,True,62
0,False,False,True,False,False,False,False,64.5,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,177.4,False,3
0,True,False,False,False,True,True,False,110.5,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,False,6139.5,False,56
0,True,False,False,False,False,False,False,55.65,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,2688.85,False,46
0,False,False,True,False,False,False,False,54.65,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,482.25,False,8
0,False,False,False,False,False,False,False,74.75,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,2111.3,True,30
0,True,False,True,True,False,False,True,25.9,False,True,True,False,True,False,True,True,True,False,False,True,False,True,False,True,False,True,False,1216.6,False,45
1,False,False,True,False,False,True,False,79.35,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,79.35,False,1
0,False,False,True,False,False,False,False,50.55,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,565.35,False,11
1,False,False,False,False,True,True,False,75.15,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,496.9,False,7
0,False,False,False,False,True,True,False,103.8,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,4327.5,False,42
0,False,True,False,True,False,False,True,20.15,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,973.35,False,49
0,False,False,False,False,False,True,False,99.3,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,918.75,True,9
0,True,False,False,False,False,False,False,62.15,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,2215.45,False,35
0,False,True,True,True,False,False,True,20.65,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,1057.0,False,48
0,False,True,True,True,False,False,True,19.95,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,927.1,False,46
0,False,False,False,False,False,False,False,33.75,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,1009.25,True,29
0,False,False,True,False,True,True,False,82.05,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,2570.2,True,30
0,False,False,False,False,False,True,False,74.7,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,74.7,True,1
0,False,True,True,False,True,False,False,84.0,False,True,False,False,False,True,True,True,False,False,True,True,False,False,True,False,True,False,True,5714.25,True,66
0,False,False,False,False,True,True,False,111.05,False,True,False,True,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,7107.0,False,65
0,False,True,False,False,True,True,False,100.9,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,7459.05,True,72
1,False,False,False,False,False,True,False,78.95,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,927.35,False,12
0,True,False,True,False,False,False,False,66.85,False,True,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,4748.7,True,71
1,False,False,False,True,False,False,True,21.05,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,113.85,True,5
0,False,True,False,True,False,False,True,21.0,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,1107.2,True,52
1,False,False,False,False,True,True,False,98.5,False,False,False,True,False,False,True,True,False,True,False,True,True,False,True,False,True,False,False,2514.5,False,25
0,False,False,False,True,False,False,True,20.2,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,20.2,True,1
0,False,False,True,True,False,False,True,19.45,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,19.45,False,1
0,True,False,False,False,True,True,False,95.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,3605.6,True,38
0,True,False,False,False,True,False,False,45.55,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,3027.25,False,66
1,False,True,False,False,True,True,False,110.0,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,7611.85,True,68
0,False,False,False,False,False,False,False,24.3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,100.2,True,5
0,True,False,True,False,False,True,False,104.15,False,True,False,True,False,True,True,True,False,True,False,True,False,False,True,False,True,False,False,7303.05,False,72
0,True,False,False,False,False,False,False,30.15,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,927.65,False,32
0,True,False,False,False,False,True,False,94.35,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,3921.3,True,43
0,False,True,True,True,False,False,True,19.4,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,1363.25,True,72
1,False,False,False,False,False,True,False,96.75,False,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,5238.9,True,55
